,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
239,116,Brother Louie,"Vize, Imanbek, Dieter Bohlen, Leony",02/09/20 - 08/09/20,135.0,,,,
240,117,"Мама, как быть?",Люся Чеботина,02/09/20 - 08/09/20,135.286,,,,
241,118,Relax,Junona Boys,02/09/20 - 08/09/20,135.929,,,,
242,119,Tacos,Little Big,02/09/20 - 08/09/20,136.571,,,,
0,1,Юность,Dabro,02/09/20 - 08/09/20,29.714000000000002,,0,2,1
1,2,Сияй,Ramil',02/09/20 - 08/09/20,30.643,,0,2,2
2,3,Краш,Клава Кока & NILETTO,02/09/20 - 08/09/20,31.714000000000002,,0,2,3
3,4,Поболело и прошло,HENSY,02/09/20 - 08/09/20,32.5,,0,2,4
4,5,неболей,"Zivert, Баста",02/09/20 - 08/09/20,33.286,,0,2,5
5,6,А уже фсё (prod. by SOAHX),Mitchel,02/09/20 - 08/09/20,35.214,,0,2,6
6,7,Cadillac,"MORGENSHTERN, Элджей",02/09/20 - 08/09/20,35.286,,0,2,7
7,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,36.786,,0,2,8
8,9,Беги (feat. Poët),Dj Smash,02/09/20 - 08/09/20,36.857,,0,2,9
9,10,Blinding Lights,The Weeknd,02/09/20 - 08/09/20,38.929,,0,2,10
10,11,Lollipop,"Gafur, JONY",02/09/20 - 08/09/20,39.714,,0,2,11
11,12,Lollipop,"Элджей, MORGENSHTERN",02/09/20 - 08/09/20,40.143,,13,2,12
12,13,А если это любовь?,HammAli & Navai,02/09/20 - 08/09/20,41.0,,0,2,13
13,14,X.O,"The Limba, Andro",02/09/20 - 08/09/20,41.214,,-2,2,12
14,15,Плачу на техно,"Cream Soda, Хлеб",02/09/20 - 08/09/20,41.5,,-1,2,14
15,16,Lovefool,twocolors,02/09/20 - 08/09/20,41.714,,-1,2,15
16,17,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",02/09/20 - 08/09/20,41.928999999999995,,-1,2,16
17,18,Minor,Miyagi & Andy Panda,02/09/20 - 08/09/20,44.286,,-1,2,17
18,19,Fly 2,"Zivert, NILETTO",02/09/20 - 08/09/20,44.571000000000005,,-1,2,18
