,rank,title,artist,date
399,100,Fly 2,"Zivert, NILETTO",03/09/2020
400,1,Coco L'Eau,"Егор Крид, The Limba",04/09/2020
401,2,Lollipop,"Элджей, MORGENSHTERN",04/09/2020
402,3,ERRDAY,Big Baby Tape,04/09/2020
403,4,Вали,Канги,04/09/2020
404,5,Если тебе будет грустно,"Rauf & Faik, NILETTO",04/09/2020
405,6,БЕГИ feat. Poët,Dj Smash,04/09/2020
406,7,Сияй,Ramil',04/09/2020
407,8,Minor,Miyagi & Andy Panda,04/09/2020
408,9,Минимум,"Ямаджи, Фейджи",04/09/2020
409,10,Ты пари,JONY,04/09/2020
410,11,Втюрилась,дора,04/09/2020
411,12,Не смогу,"VERBEE, KARA KROSS",04/09/2020
412,13,Lollipop,"Gafur, JONY",04/09/2020
413,14,Юность,Dabro,04/09/2020
414,15,Лето на ветер,"Гуф, Кравц",04/09/2020
415,16,Мир сошёл с ума,JONY,04/09/2020
416,17,Там ревели горы,Miyagi & Andy Panda,04/09/2020
417,18,Fendi,Rakhim,04/09/2020
418,19,Изгибы твоего тела,Buga,04/09/2020
419,20,Поболело и прошло,HENSY,04/09/2020
420,21,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,04/09/2020
421,22,Твой поцелуй,"Асия, NЮ",04/09/2020
422,23,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,04/09/2020
423,24,Cadillac,"MORGENSHTERN, Элджей",04/09/2020
424,25,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",04/09/2020
425,26,Дерзко,Truwer feat. Kali,04/09/2020
426,27,X.O,"The Limba, Andro",04/09/2020
427,28,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",04/09/2020
428,29,Тепло,Макс Корж,04/09/2020
429,30,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,04/09/2020
430,31,Hollywood,MACAN,04/09/2020
431,32,А уже фсё,MITCHEL,04/09/2020
432,33,неболей,"Баста, Zivert",04/09/2020
433,34,Влюбляешься зря,NLO,04/09/2020
434,35,Аферист,Хаски,04/09/2020
435,36,Краш,"Клава Кока, NILETTO",04/09/2020
436,37,По щекам слёзы,"КУЧЕР, JANAGA",04/09/2020
437,38,ICE (feat. MORGENSHTERN),MORGENSHTERN,04/09/2020
438,39,А если это любовь?,HammAli & Navai,04/09/2020
439,40,Да пошло всё,Мэвл,04/09/2020
440,41,Ананасовый сироп,"Natan, Ганвест",04/09/2020
441,42,Yamakasi,Miyagi & Andy Panda,04/09/2020
442,43,Французский поцелуй,"Миша Марвин, Ханна",04/09/2020
443,44,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",04/09/2020
444,45,На тебя смотрю,"ВесЪ, Jah Khalib",04/09/2020
445,46,Such a Whore (Stellular Remix),JVLA,04/09/2020
446,47,В Потолок,KURT92 feat. Boulevard Depo,04/09/2020
447,48,Небесные розы,JONY,04/09/2020
448,49,А за окном дожди,JONY,04/09/2020
449,50,ОСТАНОВИТЕ МУЗЫКУ,ФОГЕЛЬ,04/09/2020
450,51,Она любила розы,Ислам Итляшев,04/09/2020
451,52,Спой,Миша Марвин feat. Мот,04/09/2020
452,53,Меня не будет,ANIKV feat. SALUKI,04/09/2020
453,54,БАУНТИ,"Gidayyat, Gazan, Зомб",04/09/2020
454,55,Двигаться,Raim,04/09/2020
455,56,77,MACAN,04/09/2020
456,57,Если бы не ты,"Nebezao, NЮ",04/09/2020
457,58,Забил,ATL,04/09/2020
458,59,Ну почему,Agunda,04/09/2020
459,60,Ей нравится,Леша Свик,04/09/2020
460,61,Положение,"DIOR, Samo & ID",04/09/2020
461,62,Нежность,Mary Gu,04/09/2020
462,63,Boom Boom,"LOBODA, PHARAOH",04/09/2020
463,64,Kosandra,Miyagi & Andy Panda,04/09/2020
464,65,Ты беспощадна,JONY,04/09/2020
465,66,BANG BANG,Смоки Мо feat. Guf,04/09/2020
466,67,Были танцы,"Бьянка, Артур Бабич",04/09/2020
467,68,Utopia,Miyagi & Andy Panda,04/09/2020
468,69,Время молодёжи,Яд Добра,04/09/2020
469,70,Brooklyn,Miyagi & Andy Panda feat. TumaniYO,04/09/2020
470,71,Black Guard,Нурминский,04/09/2020
471,72,Дежавю,kizaru,04/09/2020
472,73,WAP (feat. Megan Thee Stallion),Cardi B feat. Megan Thee Stallion,04/09/2020
473,74,Кайф ты поймала,Konfuz,04/09/2020
474,75,"Мама, как быть?",Люся Чеботина,04/09/2020
475,76,911,Элджей,04/09/2020
476,77,В последний раз,Тима Белорусских,04/09/2020
477,78,Тобой дышу,"Bahh Tee, Turken",04/09/2020
478,79,ХЕДШОТ,GAYAZOV$ BROTHER$,04/09/2020
479,80,Lovefool,twocolors,04/09/2020
480,81,Кино,MACAN,04/09/2020
481,82,Океан,Мари Краймбрери,04/09/2020
482,83,Психушка,Karna.val,04/09/2020
483,84,KISS,Basiaga feat. Benz,04/09/2020
484,85,BALENCIAGA,FILV,04/09/2020
485,86,Кометы,polnalyubvi,04/09/2020
486,87,Лютики,просто Лера,04/09/2020
487,88,Времена,Макс Корж,04/09/2020
